subject_id,recording_id,source_index,task,model,feature,condition,score_type,accuracy_percent,source_file,source_key
sub-005,recording-03,14,20-c,deepnet,raw,watch,best_validation,16.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-006,recording-01,15,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-006,recording-02,16,20-c,deepnet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-006,recording-03,17,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-007,recording-01,18,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-007,recording-02,19,20-c,deepnet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-007,recording-03,20,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-008,recording-01,21,20-c,deepnet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-008,recording-02,22,20-c,deepnet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-008,recording-03,23,20-c,deepnet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-009,recording-01,24,20-c,deepnet,raw,watch,best_validation,14.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-009,recording-02,25,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-009,recording-03,26,20-c,deepnet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-010,recording-01,27,20-c,deepnet,raw,watch,best_validation,8.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-010,recording-02,28,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-010,recording-03,29,20-c,deepnet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-011,recording-01,30,20-c,deepnet,raw,watch,best_validation,12.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-011,recording-02,31,20-c,deepnet,raw,watch,best_validation,16.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
sub-011,recording-03,32,20-c,deepnet,raw,watch,best_validation,10.0,benchmark/benchmark_results.json,watch/20-c/deepnet/raw
