task,model,feature,contrast,n_subjects,difference_pp,ci95_low,ci95_high,t,df,p_uncorrected,p_holm,family,family_size
color,mlpnet,de,watch-minus-recall,20,0.2333333333333334,-1.8786380150068096,2.3453046816734764,0.23124001172920908,19,0.8196003059820967,1.0,content,84
color,mlpnet,psd,watch-minus-recall,20,1.9,0.3113935412908111,3.4886064587091887,2.503291914478918,19,0.021590033284323875,1.0,content,84
color,shallownet,raw,watch-minus-recall,20,-0.1,-1.7734244555967513,1.5734244555967511,-0.12507430780087891,19,0.9017786083620698,1.0,content,84
color,svm,raw,watch-minus-recall,20,1.5000000000000004,-0.5141193333008043,3.514119333300805,1.558763688776683,19,0.13555368622142863,1.0,content,84
color,tsconv,raw,watch-minus-recall,20,1.0000000000000004,-1.2487943348873394,3.2487943348873403,0.9307316467039748,19,0.3636683308131753,1.0,content,84
face,GCN_LSTM,raw,watch-minus-recall,20,0.03333333333333464,-1.0823722691993243,1.1490389358659934,0.06253214855415762,19,0.9507922157707074,1.0,content,84
face,conformer,raw,watch-minus-recall,20,0.5666666666666668,-1.2336072624196213,2.366940595752955,0.6588147198058072,19,0.5179198896056734,1.0,content,84
face,deepnet,raw,watch-minus-recall,20,-0.4666666666666671,-2.0022184593728087,1.0688851260394743,-0.6360870166433888,19,0.5323079779589321,1.0,content,84
face,eegnet,raw,watch-minus-recall,20,0.8999999999999997,-1.053161235286009,2.8531612352860085,0.9644475913897582,19,0.3469373519926713,1.0,content,84
face,glfnet,raw,watch-minus-recall,20,-0.9666666666666653,-2.8832848176673274,0.9499514843339966,-1.055638852669556,19,0.30437218795779536,1.0,content,84
face,glfnet_mlp,de,watch-minus-recall,20,0.6666666666666675,-0.6686392833076155,2.0019726166409506,1.0449660391555837,19,0.3091519437163587,1.0,content,84
face,glfnet_mlp,psd,watch-minus-recall,20,0.7666666666666668,-0.3011703250923221,1.8345036584256558,1.5027122935712136,19,0.1493524172714857,1.0,content,84
face,mlpnet,de,watch-minus-recall,20,0.23333333333333287,-1.1068559718978188,1.5735226385644847,0.3644054444067467,19,0.7195793724296964,1.0,content,84
face,mlpnet,psd,watch-minus-recall,20,0.30000000000000104,-0.5498136494275537,1.1498136494275557,0.7388763604178955,19,0.4690122340842847,1.0,content,84
face,shallownet,raw,watch-minus-recall,20,-0.43333333333333324,-2.4484699629087627,1.5818032962420965,-0.45008218149191803,19,0.6577443221476389,1.0,content,84
face,svm,raw,watch-minus-recall,20,1.2333333333333338,-1.6015836502809107,4.068250316947578,0.9105721079984366,19,0.3739287352592038,1.0,content,84
face,tsconv,raw,watch-minus-recall,20,1.0999999999999985,-0.8636263091101166,3.0636263091101137,1.1724870710723287,19,0.25549316290370516,1.0,content,84
fast_slow,GCN_LSTM,raw,watch-minus-recall,20,-1.133333333333334,-2.7342289145972254,0.46756224793055745,-1.481729324567578,19,0.15480762812825172,1.0,content,84
fast_slow,conformer,raw,watch-minus-recall,20,0.8333333333333336,-1.320912856811523,2.98757952347819,0.8096505961046185,19,0.4281649802091685,1.0,content,84
fast_slow,deepnet,raw,watch-minus-recall,20,-0.23333333333333287,-2.398019237948506,1.93135257128184,-0.22560884159715885,19,0.8239146636149729,1.0,content,84
fast_slow,eegnet,raw,watch-minus-recall,20,2.100000000000002,0.4826265768336646,3.717373423166339,2.7175854699359188,19,0.013660611949827659,0.9972246723374191,content,84
fast_slow,glfnet,raw,watch-minus-recall,20,0.39999999999999963,-1.5534891174477126,2.3534891174477117,0.42857142857142805,19,0.6730545855987491,1.0,content,84
fast_slow,glfnet_mlp,de,watch-minus-recall,20,0.9666666666666682,-0.8984674170976455,2.831800750430982,1.0847780883637843,19,0.29159312719197616,1.0,content,84
fast_slow,glfnet_mlp,psd,watch-minus-recall,20,0.8333333333333339,-1.1858673560927575,2.8525340227594254,0.8638005727417961,19,0.398471276400589,1.0,content,84
fast_slow,mlpnet,de,watch-minus-recall,20,0.43333333333333074,-0.8361763181587205,1.7028429848253819,0.7144310318378497,19,0.48364654695500886,1.0,content,84
fast_slow,mlpnet,psd,watch-minus-recall,20,1.0999999999999996,-1.3237491039704228,3.523749103970422,0.949902964823204,19,0.35408898976702197,1.0,content,84
fast_slow,shallownet,raw,watch-minus-recall,20,-0.13333333333333322,-2.607970061892299,2.3413033952256326,-0.112772056884329,19,0.9113942562539512,1.0,content,84
fast_slow,svm,raw,watch-minus-recall,20,1.4666666666666663,-1.1469314871677927,4.080264820501125,1.174537336058492,19,0.2546912190200605,1.0,content,84
fast_slow,tsconv,raw,watch-minus-recall,20,-1.6333333333333322,-3.6967104427640693,0.43004377609740474,-1.6568013379176478,19,0.11398086096662431,1.0,content,84
human,GCN_LSTM,raw,watch-minus-recall,20,0.4999999999999993,-1.3357840430685,2.3357840430684984,0.5700627103473962,19,0.5753147693069309,1.0,content,84
human,conformer,raw,watch-minus-recall,20,0.8000000000000004,-1.0378064082945215,2.637806408294522,0.911096639977693,19,0.3736593384081599,1.0,content,84
human,deepnet,raw,watch-minus-recall,20,0.10000000000000071,-2.170956622197393,2.370956622197394,0.092164862769728,19,0.9275318890633953,1.0,content,84
human,eegnet,raw,watch-minus-recall,20,-0.13333333333333322,-2.1237183094989884,1.857051642832322,-0.1402089933670576,19,0.8899705698723692,1.0,content,84
human,glfnet,raw,watch-minus-recall,20,0.9666666666666679,-1.373624309298637,3.306957642631973,0.8645320631950278,19,0.39807952610752895,1.0,content,84
human,glfnet_mlp,de,watch-minus-recall,20,-0.26666666666666644,-1.8621121019661455,1.3287787686328127,-0.34983317855520096,19,0.7303118029242477,1.0,content,84
human,glfnet_mlp,psd,watch-minus-recall,20,2.1666666666666656,0.9566696995911785,3.3766636337421527,3.7478486100494393,19,0.001362649543962234,0.10628666442905425,content,84
human,mlpnet,de,watch-minus-recall,20,-1.5000000000000004,-2.945400321749954,-0.05459967825004686,-2.172087576271841,19,0.04271297719493794,1.0,content,84
human,mlpnet,psd,watch-minus-recall,20,1.7,0.5797114839363371,2.8202885160636626,3.1760933379878082,19,0.004973555005971441,0.37799018045382954,content,84
human,shallownet,raw,watch-minus-recall,20,-0.26666666666666716,-2.464531342760563,1.931198009427229,-0.2539463661767135,19,0.8022648473728667,1.0,content,84
human,svm,raw,watch-minus-recall,20,0.23333333333333287,-2.0977442946831446,2.5644109613498105,0.20950494032988717,19,0.8362840868903423,1.0,content,84
human,tsconv,raw,watch-minus-recall,20,-0.43333333333333324,-2.5355782061786063,1.66891153951194,-0.4314326565658532,19,0.6710094559370536,1.0,content,84
number,GCN_LSTM,raw,watch-minus-recall,20,0.03333333333333357,-1.7929366364685848,1.8596033031352521,0.038202165963361415,19,0.9699250374084425,1.0,content,84
number,conformer,raw,watch-minus-recall,20,1.3000000000000003,-0.17903915433227313,2.7790391543322737,1.839661419889275,19,0.08149641847999863,1.0,content,84
number,deepnet,raw,watch-minus-recall,20,0.23333333333333392,-1.9478582308235457,2.4145248974902134,0.22390159919342312,19,0.8252238221783583,1.0,content,84
number,eegnet,raw,watch-minus-recall,20,0.26666666666666716,-1.8552884148507989,2.388621748184133,0.2630308966969575,19,0.7953579420659487,1.0,content,84
number,glfnet,raw,watch-minus-recall,20,1.833333333333334,-0.6169067675617939,4.283573434228462,1.566055002125437,19,0.13383934946082995,1.0,content,84
number,glfnet_mlp,de,watch-minus-recall,20,0.9000000000000004,-0.950794110205744,2.750794110205745,1.0177910328221396,19,0.32156323282060567,1.0,content,84
number,glfnet_mlp,psd,watch-minus-recall,20,0.8333333333333336,-1.786677246597375,3.453343913264042,0.6657174308254187,19,0.5135934113217377,1.0,content,84
number,mlpnet,de,watch-minus-recall,20,0.4666666666666668,-1.6424521823223093,2.575785515655643,0.4631055092945886,19,0.6485492676565847,1.0,content,84
number,mlpnet,psd,watch-minus-recall,20,0.6333333333333329,-0.3863978260883816,1.6530644927550473,1.2999327213625251,19,0.20917409751343793,1.0,content,84
number,shallownet,raw,watch-minus-recall,20,0.7999999999999993,-1.3583450505047785,2.9583450505047773,0.7757884880987902,19,0.44742346416324763,1.0,content,84
number,svm,raw,watch-minus-recall,20,7.105427357601002e-16,-2.5488882130573196,2.5488882130573214,5.834634214291844e-16,19,0.9999999999999996,1.0,content,84
number,tsconv,raw,watch-minus-recall,20,1.3666666666666671,-0.5632716679057101,3.2966050012390444,1.4821541996703727,19,0.15469556687902933,1.0,content,84
